longitude,latitude,altitude
-33.631245,18.843956,49675.92
-33.633759,18.838692,49685.94
-33.635947,18.833771,49694.95
-33.637482,18.829838,49702.56
-33.63913,18.825297,49710.48
-33.640602,18.82061,49718.82
-33.641876,18.816161,49726.38
-33.64307,18.811226,49734.76
-33.644652,18.804245,49746.7
-33.646317,18.796655,49759.15
-33.647278,18.793011,49765.11
-33.649429,18.785836,49776.92
-33.651682,18.778954,49788.16
-33.652954,18.775298,49794.56
-33.65522,18.76894,49806.08
-33.658905,18.757754,49825.9
-33.661877,18.748627,49841.35
-33.663552,18.742905,49851.31
-33.66687,18.731017,49871.25
-33.668254,18.726711,49878.47
-33.669983,18.721768,49887.0
-33.672729,18.714369,49899.97
-33.674632,18.709259,49909.04
-33.677078,18.702766,49920.87
-33.679413,18.696376,49932.24
-33.682127,18.689232,49945.12
-33.685181,18.68141,49959.29
-33.688923,18.671894,49976.69
-33.691484,18.665028,49989.37
-33.692734,18.662016,49994.65
-33.695847,18.655178,50007.38
-33.696854,18.652823,50012.01
-33.700096,18.644886,50027.54
-33.703995,18.63483,50047.05
-33.705322,18.631747,50053.18
-33.708475,18.624916,50066.74
-33.711639,18.618351,50079.66
-33.714066,18.613755,50089.32
-33.717819,18.606916,50103.28
-33.719604,18.603217,50110.69
-33.722813,18.596134,50124.34
-33.726305,18.589153,50137.9
-33.727753,18.586569,50143.21
-33.729492,18.583766,50149.08
-33.731232,18.5813,50154.72
-33.737,18.573621,50172.61
-33.739151,18.57093,50179.04
-33.743546,18.565549,50191.68
-33.748883,18.558712,50207.86
-33.750512,18.556366,50213.1
-33.751556,18.554675,50216.71
-33.752289,18.553106,50220.0
-33.753113,18.551088,50224.03
-33.75391,18.548641,50228.64
-33.754469,18.546638,50232.57
-33.755214,18.544178,50236.88
-33.755676,18.543016,50239.34
-33.756145,18.542118,50241.19
-33.756729,18.541335,50243.0
-33.757278,18.54083,50244.71
-33.757919,18.540326,50246.29
-33.75856,18.540045,50248.07
-33.759217,18.539829,50249.3
-33.760009,18.539772,50251.42
-33.760707,18.539886,50252.9
-33.761498,18.540173,50254.55
-33.761856,18.540382,50255.48
-33.762497,18.540886,50257.04
-33.762988,18.541431,50258.85
-33.763547,18.54229,50260.75
-33.764008,18.543352,50262.72
-33.764245,18.544121,50264.35
-33.764465,18.545202,50266.14
-33.764524,18.54641,50268.18
-33.764511,18.547893,50271.0
-33.764236,18.553946,50281.92
-33.764008,18.557366,50288.5
-33.763824,18.558599,50290.93
-33.763547,18.559685,50292.78
-33.763138,18.560673,50294.71
-33.762616,18.561516,50296.62
-33.761964,18.562317,50298.51
-33.761398,18.562803,50300.03
-33.760757,18.563307,50301.8
-33.759979,18.5637,50303.54
-33.758926,18.56398,50305.77
-33.758054,18.564091,50307.58
-33.756729,18.564036,50310.69
-33.752014,18.563587,50321.06
-33.746017,18.563195,50335.07
-33.743042,18.562971,50342.43
-33.742272,18.562832,50344.2
-33.741531,18.562578,50346.3
-33.741015,18.56226,50347.68
-33.740457,18.561802,50349.18
-33.740158,18.561401,50350.38
-33.739792,18.560897,50351.69
-33.739471,18.560224,50353.5
-33.739197,18.559552,50355.0
-33.739014,18.558823,50356.5
-33.738921,18.557911,50358.46
-33.738967,18.556938,50360.4
-33.73906,18.555851,50362.78
-33.739243,18.554731,50365.2
-33.739386,18.553905,50367.37
-33.739898,18.551216,50374.52
-33.740177,18.550014,50377.59
-33.740433,18.54935,50379.66
-33.740707,18.54879,50381.26
-33.741074,18.548229,50383.04
-33.741577,18.547668,50385.06
-33.741943,18.547332,50386.41
-33.742412,18.547096,50387.9
-33.74295,18.54694,50389.25
-33.743436,18.54681,50390.82
-33.743995,18.546867,50392.69
-33.744972,18.546982,50395.63
-33.746429,18.547164,50400.17
-33.748627,18.547332,50407.64
-33.75121,18.547554,50416.52
-33.75284,18.547726,50422.32
-33.75526,18.547897,50430.18
-33.756145,18.547955,50433.22
-33.756546,18.548005,50434.56
-33.75689,18.548012,50436.13
-33.757324,18.548061,50438.13
-33.757728,18.548069,50439.74
-33.757965,18.548117,50441.28
-33.758147,18.548126,50442.2
-33.758331,18.548117,50443.36
-33.75856,18.548173,50445.17
-33.758891,18.548183,50447.35
-33.759171,18.548183,50449.74
-33.759247,18.548173,50451.01
-33.759287,18.548198,50451.5
-33.759418,18.548215,50453.41
-33.75951,18.548229,50455.46
-33.759544,18.548243,50456.4
-33.759578,18.548269,50457.3
-33.759613,18.548355,50460.14
-33.759602,18.548537,50467.94
-33.759602,18.548537,50472.71
-33.759601,18.548541,50473.26
-33.759602,18.548537,50482.59
-33.75959,18.548641,50489.43
-33.75959,18.548856,50496.31
-33.759567,18.54921,50505.63
-33.759544,18.549518,50512.85
-33.759555,18.549571,50514.4
-33.759578,18.549714,50517.64
-33.759601,18.549843,50520.79
-33.759602,18.549939,50523.32
-33.75959,18.550191,50529.47
-33.75959,18.550233,50530.67
-33.759578,18.550272,50531.74
-33.759544,18.550317,50533.27
-33.75927,18.550345,50543.18
-33.758996,18.550315,50551.22
-33.75895,18.550315,50552.73
-33.758617,18.550289,50562.45
-33.758286,18.550258,50571.27
-33.7581,18.550243,50576.12
-33.758077,18.550243,50576.71
-33.758054,18.550258,50577.93
-33.758022,18.550289,50578.83
-33.757977,18.550345,50583.39
-33.757954,18.550345,50586.52
-33.757942,18.550345,50589.29
-33.757937,18.550344,50595.73
-33.757937,18.550344,50609.42
-33.757931,18.550345,50614.96
-33.757937,18.550344,50634.69
-33.757931,18.550345,50649.91
